chk_mng_no,sno
31319,42000
31320,42001
31321,42002
31322,42003
31323,42004
31324,42005
31325,42006
31326,42007
31327,42008
31328,42009
31329,42010
31330,42011
31331,42012
31332,42013
31333,42014
31334,42015
31335,42016
31336,42017
31337,42018
31338,42019
31339,42020
31340,42021
31341,42022
31342,42023
31343,42024
31344,42025
31345,42026
31346,42027
31347,42028
31348,42029
31349,42030
31350,42031
31351,42032
31352,42033
31353,42034
31354,42035
31355,42036
31356,42037
31357,42038
31358,42039
31359,42040
31360,42041
31361,42042
31362,42043
31363,42044
31364,42045
31365,42046
31366,42047
31367,42048
31368,42049
31369,42050
31370,42051
31371,42052
31372,42053
31373,42054
31374,42055
31375,42056
31376,42057
31377,42058
31378,42059
31379,42060
31380,42061
31381,42062
31382,42063
31383,42064
31384,42065
31385,42066
31386,42067
31387,42068
31388,42069
31389,42070
31390,42071
31391,42072
31392,42073
31393,42074
31394,42075
31395,42076
31396,42077
31397,42078
31398,42079
31399,42080
31400,42081
31401,42082
31402,42083
31403,42084
31404,42085
31405,42086
31406,42087
31407,42088
31408,42089
31409,42090
31410,42091
31411,42092
31412,42093
31413,42094
31414,42095
31415,42096
31416,42097
31417,42098
31418,42099
31419,42100
31420,42101
31421,42102
31422,42103
31423,42104
31424,42105
31425,42106
31426,42107
31427,42108
31428,42109
31429,42110
31430,42111
31431,42112
31432,42113
31433,42114
31434,42115
31435,42116
31436,42117
31437,42118
31438,42119
31439,42120
31440,42121
31441,42122
31442,42123
31443,42124
31444,42125
31445,42126
31446,42127
31447,42128
31448,42129
31449,42130
31450,42131
31451,42132
31452,42133
31453,42134
31454,42135
31455,42136
31456,42137
31457,42138
31458,42139
31459,42140
31460,42141
31461,42142
31462,42143
31463,42144
31464,42145
31465,42146
31466,42147
31467,42148
31468,42149
31469,42150
31470,42151
31471,42152
31472,42153
31473,42154
31474,42155
31475,42156
31476,42157
31477,42158
31478,42159
31479,42160
31480,42161
31481,42162
31482,42163
31483,42164
31484,42165
31485,42166
31486,42167
31487,42168
31488,42169
31489,42170
31490,42171
31491,42172
31492,42173
31493,42174
31494,42175
31495,42176
31496,42177
31497,42178
31498,42179
31499,42180
31500,42181
31501,42182
31502,42183
31503,42184
31504,42185
31505,42186
31506,42187
31507,42188
31508,42189
31509,42190
31510,42191
31511,42192
31512,42193
31513,42194
31514,42195
31515,42196
31516,42197
31517,42198
31518,42199
31519,42200
31520,42201
31521,42202
31522,42203
31523,42204
31524,42205
31525,42206
31526,42207
31527,42208
31528,42209
31529,42210
31530,42211
31531,42212
31532,42213
31533,42214
31534,42215
31535,42216
31536,42217
31537,42218
31538,42219
31539,42220
31540,42221
31541,42222
31542,42223
31543,42224
31544,42225
31545,42226
31546,42227
31547,42228
31548,42229
31549,42230
31550,42231
31551,42232
31552,42233
31553,42234
31554,42235
31555,42236
31556,42237
31557,65020
31558,42238
31559,42239
31560,42240
31561,42241
31562,42242
31563,42243
31564,42244
31565,42245
31566,42246
31567,42247
31568,42248
31569,42249
31570,42250
31571,42251
31572,42252
31573,42253
31574,42254
31575,42255
31576,42256
31577,42257
31578,42258
31579,42259
31580,42260
31581,42261
31582,42262
31583,42263
31584,42264
31585,42265
31586,42266
31587,42267
31588,42268
31589,42269
31590,42270
31591,42271
31592,42272
31593,42273
31594,42274
31595,42275
31596,42276
31597,42277
31598,42278
31599,42279
31600,42280
31601,42281
31602,42282
31603,42283
31604,42284
31605,42285
31606,42286
31607,42287
31608,42288
31609,42289
31610,42290
31611,42291
31612,42292
31613,42293
31614,42294
31615,42295
31616,42296
31617,42297
31618,42298
31619,42299
31620,42300
31621,42301
31622,42302
31623,42303
31624,42304
31625,42305
31626,42306
31627,42307
31628,42308
31629,42309
31630,42310
31631,42311
31632,42312
31633,42313
31634,42314
31635,42315
31636,42316
31637,42317
31638,42318
31639,42319
31640,42320
31641,42321
31642,42322
31643,42323
31644,42324
31645,42325
31646,42326
31647,42327
31648,42328
31649,42329
31650,42330
31651,42331
31652,42332
31653,42333
31654,42334
31655,42335
31656,42336
31657,42337
31658,42338
31659,42339
31660,42340
31661,42341
31662,42342
31663,42343
31664,42344
31665,42345
31666,42346
31667,42347
31668,65021
31669,65022
31670,65023
31671,65024
31672,65025
31673,65026
31674,65027
31675,65028
31676,65029
31677,65030
31678,65031
31679,65032
31680,65033
31681,65034
31682,65035
31683,65036
31684,65037
31685,65038
31686,65039
31687,65040
31688,42348
31689,42349
31690,42350
31691,42351
31692,42352
31693,42353
31694,42354
31695,42355
31696,42356
31697,42357
31698,42358
31699,42359
31700,42360
31701,42361
31702,42362
31703,42363
31704,42364
31705,42365
31706,42366
31707,42367
31708,42368
31709,42369
31710,42370
31711,42371
31712,42372
31713,42373
31714,42374
31715,42375
31716,42376
31717,42377
31718,42378
31719,42379
31720,42380
31721,42381
31722,42382
31723,42383
31724,42384
31725,42385
31726,42386
31727,42387
31728,42388
31729,42389
31730,42390
31731,42391
31732,42392
31733,42393
31734,42394
31735,42395
31736,42396
31737,42397
31738,42398
31739,42399
31740,42400
31741,42401
31742,42402
31743,42403
31744,42404
31745,42405
31746,42406
31747,42407
31748,42408
31749,42409
31750,42410
31751,42411
31752,42412
31753,42413
31754,42414
31755,42415
31756,42416
31757,42417
31758,42418
31759,42419
31760,42420
31761,42421
31762,42422
31763,42423
31764,42424
31765,42425
31766,42426
31767,42427
31768,42428
31769,42429
31770,42430
31771,42431
31772,42432
31773,42433
31774,42434
31775,42435
31776,42436
31777,42437
31778,42438
31779,42439
31780,42440
31781,42441
31782,42442
31783,42443
31784,42444
31785,42445
31786,42446
31787,42447
31788,42448
31789,42449
31790,42450
31791,42451
31792,42452
31793,42453
31794,42454
31795,42455
31796,42456
31797,42457
31798,42458
31799,42459
31800,42460
31801,42461
31802,42462
31803,42463
31804,42464
31805,42465
31806,42466
31807,42467
31808,42468
31809,42469
31810,42470
31811,42471
31812,42472
31813,42473
31814,42474
31815,42475
31816,42476
31817,42477
31818,42478
31819,42479
31820,42480
31821,42481
31822,42482
31823,42483
31824,42484
31825,42485
31826,42486
31827,42487
31828,42488
31829,42489
31830,42490
31831,42491
31832,42492
31833,42493
31834,42494
31835,42495
31836,42496
31837,42497
31838,42498
31839,42499
31840,42500
31841,42501
31842,2438
31843,2439
31844,2453
31845,2455
31846,2457
31847,2458
31848,2459
31849,2461
31850,2463
31851,42502
31852,42503
31853,42504
31854,42505
31855,2481
31856,42509
31857,42510
31858,42511
31859,42512
31860,42513
31861,42514
31862,42515
31863,2489
31864,42516
31865,42517
31866,42518
31867,42519
31868,42520
31869,42521
31870,42522
31871,42523
31872,42524
31873,42525
31874,2491
31875,42526
31876,42527
31877,42528
31878,42529
31879,2531
31880,2532
31881,2533
31882,2534
31883,2535
31884,2536
31885,2537
31886,2538
31887,2539
31888,42530
31889,42531
31890,42532
31891,42533
31892,42534
31893,42535
31894,42536
31895,42537
31896,42538
31897,42539
31898,42540
31899,42541
31900,42542
31901,42543
31902,42544
31903,42545
31904,42546
31905,42547
31906,42548
31907,42549
31908,42550
31909,42551
31910,42552
31911,42553
31912,42554
31913,42555
31914,42556
31915,42557
31916,42558
31917,42559
31918,42560
31919,42561
31920,42562
31921,42563
31922,42564
31923,42565
31924,42566
31925,42567
31926,42568
31927,42569
31928,42570
31929,42571
31930,42572
31931,42573
31932,42574
31933,42575
31934,42576
31935,42577
31936,42578
31937,42579
31938,42580
31939,42581
31940,42582
31941,42583
31942,42584
31943,42585
31944,42586
31945,70010
31946,70011
31947,70012
31948,70013
31949,70014
31950,70015
31951,70016
31952,70017
31953,70018
31954,70019
31955,70020
31956,70021
31957,70022
31958,70023
31959,2494
31960,70024
31961,2495
31962,70025
31963,2496
31964,70026
31965,2497
31966,2504
31967,2505
31968,2506
31969,2507
31970,2508
31971,70027
31972,70028
31973,70029
31974,70030
31975,70031
31976,70032
31977,70033
31978,70034
31979,70035
31980,70036
31981,70037
31982,70038
31983,70039
31984,70040
31985,70041
31986,70042
31987,70043
31988,70044
31989,70045
31990,70046
31991,70047
31992,70048
31993,70049
31994,70050
31995,70051
31996,70052
31997,70053
31998,2519
31999,42587
32000,42588
32001,42589
32002,42590
32003,42591
32004,42592
32005,42593
32006,42594
32007,42595
32008,42596
32009,42597
32010,42598
32011,42599
32012,42600
32013,42601
32014,42602
32015,42603
32016,42604
32017,42605
32018,42606
32019,42607
32020,42608
32021,42609
32022,42610
32023,42611
32024,42612
32025,42613
32026,42614
32027,42615
32028,42616
32029,42617
32030,42618
32031,42619
32032,42620
32033,42621
32034,42622
32035,42623
32036,42624
32037,42625
32038,42626
32039,42627
32040,42628
32041,42629
32042,42630
32043,42631
32044,42632
32045,42633
32046,42634
32047,42635
32048,42636
32049,42637
32050,42638
32051,42639
32052,42640
32053,2805
32054,2806
32055,2807
32056,2808
32057,2809
32058,2810
32059,2811
32060,42641
32061,42642
32062,42643
32063,42644
32064,42645
32065,42646
32066,42647
32067,42648
32068,42649
32069,42650
32070,42651
32071,42652
32072,42653
32073,42654
32074,42655
32075,42656
32076,42657
32077,42658
32078,42659
32079,42660
32080,42661
32081,42662
32082,42663
32083,42664
32084,42665
32085,42666
32086,42667
32087,42668
32088,42669
32089,42670
32090,42671
32091,42672
32092,42673
32093,42674
32094,42675
32095,42676
32096,42677
32097,42678
32098,42679
32099,42680
32100,42681
32101,42682
32102,42683
32103,42684
32104,42685
32105,42686
32106,42687
32107,42688
32108,42689
32109,42690
32110,42691
32111,42692
32112,42693
32113,42694
32114,42695
32115,42696
32116,42697
32117,42698
32118,42699
32119,42700
32120,42701
32121,42702
32122,42703
32123,42704
32124,42705
32125,42706
32126,42707
32127,42708
32128,42709
32129,42710
32130,42711
32131,42712
32132,42713
32133,42714
32134,42715
32135,42716
32136,42717
32137,42718
32138,42719
32139,42720
32140,42721
32141,42722
32142,42723
32143,42724
32144,42725
32145,42726
32146,42727
32147,42728
32148,42729
32149,42730
32150,42731
32151,42732
32152,42733
32153,42734
32154,42735
32155,42736
32156,42737
32157,42738
32158,42739
32159,42740
32160,42741
32161,42742
32162,42743
32163,42744
32164,42745
32165,42746
32166,42747
32167,42748
32168,42749
32169,42750
32170,42751
32171,42752
32172,42753
32173,42754
32174,42755
32175,42756
32176,42757
32177,42758
32178,42759
32179,42760
32180,42761
32181,42762
32182,42763
32183,42764
32184,42765
32185,42766
32186,42767
32187,42768
32188,42769
32189,42770
32190,42771
32191,42772
32192,42773
32193,42774
32194,42775
32195,42776
32196,42777
32197,42778
32198,42779
32199,42780
32200,42781
32201,42782
32202,42783
32203,42784
32204,42785
32205,42786
32206,42787
32207,42788
32208,42789
32209,42790
32210,42791
32211,42792
32212,42793
32213,3029
32214,3030
32215,3031
32216,3032
32217,3033
32218,3034
32219,3044
32220,3045
32221,42794
32222,42795
32223,42796
32224,42797
32225,42798
32226,42799
32227,42800
32228,3085
32229,42801
32230,42802
32231,42803
32232,42804
32233,42805
32234,42806
32235,42807
32236,42808
32237,42809
32238,42810
32239,42811
32240,42812
32241,3406
32242,3407
32243,3408
32244,42813
32245,42814
32246,42815
32247,42816
32248,42817
32249,42818
32250,42819
32251,42820
32252,42821
32253,42822
32254,42823
32255,42824
32256,42825
32257,42826
32258,42827
32259,42828
32260,42829
32261,42830
32262,42831
32263,42832
32264,42833
32265,42834
32266,42835
32267,42836
32268,42837
32269,42838
32270,42839
32271,42840
32272,42841
32273,42842
32274,42843
32275,42844
32276,42845
32277,42846
32278,42847
32279,42848
32280,42849
32281,42850
32282,42851
32283,42852
32284,42853
32285,42854
32286,42855
32287,42856
32288,42857
32289,42858
32290,42859
32291,42860
32292,42861
32293,42862
32294,42863
32295,42864
32296,42865
32297,42866
32298,42867
32299,42868
32300,42869
32301,42870
32302,42871
32303,42872
32304,42873
32305,42874
32306,42875
32307,42876
32308,42877
32309,42878
32310,42879
32311,42880
32312,42881
32313,42882
32314,42883
32315,42884
32316,42885
32317,42886
32318,42887
32319,42888
32320,42889
32321,42890
32322,42891
32323,42892
32324,42893
32325,42894
32326,42895
32327,42896
32328,3528
32329,3529
32330,3530
32331,3531
32332,3592
32333,3593
32334,3594
32335,3595
32336,3596
32337,3597
32338,3598
32339,3662
32340,3663
32341,3664
32342,3665
32343,3666
32344,3667
32345,3668
32346,3669
32347,3670
32348,3671
32349,3672
32350,3673
32351,3674
32352,3675
32353,3676
32354,3677
32355,3678
32356,3679
32357,3680
32358,3681
32359,3682
32360,3683
32361,3684
32362,3685
32363,3687
32364,3688
32365,3689
32366,3690
32367,42897
32368,42898
32369,42899
32370,42900
32371,42901
32372,3777
32373,3778
32374,3779
32375,3808
32376,3809
32377,42902
32378,3829
32379,3830
32380,42903
32381,42904
32382,42905
32383,42906
32384,42907
32385,42908
32386,42909
32387,42910
32388,42911
32389,70054
32390,42913
32391,42914
32392,44450
32393,44451
32394,44452
32395,44453
32396,44454
32397,44455
32398,44456
32399,44457
32400,44458
32401,44459
32402,44460
32403,44461
32404,44462
32405,44463
32406,44464
32407,44465
32408,44466
32409,44467
32410,44468
32411,44469
32412,44470
32413,44471
32414,44472
32415,44473
32416,44474
32417,44475
32418,44476
32419,44477
32420,44478
32421,44479
32422,44480
32423,44481
32424,44482
32425,44483
32426,44484
32427,44485
32428,44486
32429,44487
32430,44488
32431,44489
32432,44490
32433,44491
32434,44492
32435,44493
32436,44494
32437,44495
32438,44496
32439,44497
32440,44498
32441,44499
32442,44500
32443,44501
32444,44502
32445,44503
32446,44504
32447,44505
32448,44506
32449,44507
32450,44508
32451,44509
32452,44510
32453,44511
32454,44512
32455,44513
32456,44514
32457,44515
32458,44516
32459,44517
32460,44518
32461,44519
32462,44520
32463,44521
32464,44522
32465,44523
32466,44524
32467,44525
32468,44526
32469,44527
32470,44528
32471,44529
32472,44530
32473,44531
32474,44532
32475,44533
32476,44534
32477,44535
32478,44536
32479,44537
32480,44538
32481,44539
32482,44540
32483,44541
32484,44542
32485,44543
32486,44544
32487,44545
32488,44546
32489,44547
32490,44548
32491,44549
32492,44550
32493,44551
32494,44552
32495,44553
32496,44554
32497,44555
32498,44556
32499,44557
32500,44558
32501,44559
32502,44560
32503,44561
32504,44562
32505,44563
32506,44564
32507,44565
32508,44566
32509,44567
32510,44568
32511,44569
32512,44570
32513,44571
32514,44572
32515,44573
32516,44574
32517,44575
32518,44576
32519,44577
32520,44578
32521,44579
32522,44580
32523,44581
32524,44582
32525,44583
32526,44584
32527,44585
32528,44586
32529,44587
32530,44588
32531,44589
32532,44590
32533,44591
32534,44592
32535,44593
32536,44594
32537,44595
32538,44596
32539,44597
32540,44598
32541,44599
32542,44600
32543,44601
32544,44602
32545,44603
32546,44604
32547,44605
32548,44606
32549,44607
32550,44608
32551,44609
32552,44610
32553,44611
32554,44612
32555,44613
32556,44614
32557,44615
32558,44616
32559,44617
32560,44618
32561,44619
32562,44620
32563,44621
32564,44622
32565,44623
32566,44624
32567,44625
32568,44626
32569,44627
32570,44628
32571,44629
32572,44630
32573,44631
32574,44632
32575,44633
32576,44634
32577,44635
32578,44636
32579,44637
32580,44638
32581,44639
32582,44640
32583,44641
32584,44642
32585,44643
32586,44644
32587,44645
32588,44646
32589,44647
32590,44648
32591,44649
32592,44650
32593,44651
32594,44652
32595,44653
32596,44654
32597,44655
32598,44656
32599,44657
32600,44658
32601,44659
32602,44660
32603,44661
32604,44662
32605,44663
32606,44664
32607,44665
32608,44666
32609,44667
32610,44668
32611,44669
32612,44670
32613,44671
32614,44672
32615,44673
32616,44674
32617,44675
32618,44676
32619,44677
32620,44678
32621,44679
32622,44680
32623,44681
32624,44682
32625,44683
32626,44684
32627,44685
32628,44686
32629,44687
32630,44688
32631,44689
32632,44690
32633,44691
32634,44692
32635,44693
32636,44694
32637,44695
32638,44696
32639,44697
32640,44698
32641,44699
32642,44700
32643,44701
32644,44702
32645,44703
32646,44704
32647,44705
32648,44706
32649,44707
32650,44708
32651,44709
32652,44710
32653,44711
32654,44712
32655,44713
32656,44714
32657,44715
32658,44716
32659,44717
32660,44718
32661,44719
32662,44720
32663,44721
32664,44722
32665,44723
32666,44724
32667,44725
32668,44726
32669,44727
32670,44728
32671,44729
32672,44730
32673,44731
32674,44732
32675,44733
32676,44734
32677,44735
32678,44736
32679,44737
32680,44738
32681,44739
32682,44740
32683,44741
32684,44742
32685,44743
32686,4261
32687,44744
32688,44745
32689,44746
32690,4262
32691,4263
32692,44747
32693,44748
32694,44749
32695,44750
32696,44751
32697,4264
32698,4265
32699,44752
32700,44753
32701,44754
32702,44755
32703,44756
32704,4266
32705,4267
32706,4268
32707,4269
32708,4270
32709,44757
32710,44758
32711,44759
32712,44760
32713,44761
32714,44762
32715,44763
32716,44764
32717,44765
32718,44766
32719,44767
32720,44768
32721,44769
32722,44770
32723,44771
32724,44772
32725,42915
32726,42916
32727,42917
32728,42918
32729,42919
32730,42920
32731,42921
32732,42922
32733,42923
32734,42924
32735,42925
32736,42926
32737,42927
32738,42928
32739,42929
32740,42930
32741,42931
32742,42932
32743,42933
32744,42934
32745,42935
32746,42936
32747,42937
32748,42938
32749,42939
32750,42940
32751,42941
32752,42942
32753,42943
32754,42944
32755,42945
32756,42946
32757,42947
32758,42948
32759,42949
32760,42950
32761,42951
32762,42952
32763,42953
32764,42954
32765,42955
32766,42956
32767,42957
32768,42958
32769,42959
32770,42960
32771,42961
32772,42962
32773,42963
32774,42964
32775,42965
32776,42966
32777,42967
32778,42968
32779,42969
32780,42970
32781,4352
32782,4353
32783,4354
32784,4355
32785,4356
32786,4357
32787,4358
32788,4359
32789,42971
32790,42972
32791,42973
32792,42974
32793,42975
32794,42976
32795,42977
32796,42978
32797,42979
32798,42980
32799,42981
32800,42982
32801,42983
32802,42984
32803,42985
32804,42986
32805,42987
32806,42988
32807,42989
32808,42990
32809,42991
32810,42992
32811,42993
32812,42994
32813,42995
32814,42996
32815,42997
32816,42998
32817,4370
32818,4371
32819,4372
32820,4373
32821,4374
32822,4375
32823,4376
32824,4377
32825,4378
32826,4379
32827,4380
32828,4381
32829,4382
32830,4383
32831,4384
32832,4385
32833,4386
32834,4387
32835,4388
32836,4389
32837,4390
32838,4391
32839,4392
32840,4393
32841,4394
32842,4395
32843,4396
32844,4397
32845,4398
32846,4399
32847,4400
32848,4401
32849,4402
32850,4403
32851,4404
32852,4405
32853,4406
32854,4407
32855,4408
32856,4409
32857,4410
32858,4411
32859,4412
32860,4413
